dataset_type,year,archive_name,member_name,encoding,delimiter,column_count,header_signature,headers_json,error
sales,2021,seoul_estimated_sales_2021.zip,서울시_상권분석서비스(추정매출-상권)_2021년.csv,cp949,",",55,938fb2aeb7fdec56c969156aea41afa3207e609183f94619100b2e3d7a349ffc,"[""기준_년분기_코드"", ""상권_구분_코드"", ""상권_구분_코드_명"", ""상권_코드"", ""상권_코드_명"", ""서비스_업종_코드"", ""서비스_업종_코드_명"", ""당월_매출_금액"", ""당월_매출_건수"", ""주중_매출_금액"", ""주말_매출_금액"", ""월요일_매출_금액"", ""화요일_매출_금액"", ""수요일_매출_금액"", ""목요일_매출_금액"", ""금요일_매출_금액"", ""토요일_매출_금액"", ""일요일_매출_금액"", ""시간대_00~06_매출_금액"", ""시간대_06~11_매출_금액"", ""시간대_11~14_매출_금액"", ""시간대_14~17_매출_금액"", ""시간대_17~21_매출_금액"", ""시간대_21~24_매출_금액"", ""남성_매출_금액"", ""여성_매출_금액"", ""연령대_10_매출_금액"", ""연령대_20_매출_금액"", ""연령대_30_매출_금액"", ""연령대_40_매출_금액"", ""연령대_50_매출_금액"", ""연령대_60_이상_매출_금액"", ""주중_매출_건수"", ""주말_매출_건수"", ""월요일_매출_건수"", ""화요일_매출_건수"", ""수요일_매출_건수"", ""목요일_매출_건수"", ""금요일_매출_건수"", ""토요일_매출_건수"", ""일요일_매출_건수"", ""시간대_건수~06_매출_건수"", ""시간대_건수~11_매출_건수"", ""시간대_건수~14_매출_건수"", ""시간대_건수~17_매출_건수"", ""시간대_건수~21_매출_건수"", ""시간대_건수~24_매출_건수"", ""남성_매출_건수"", ""여성_매출_건수"", ""연령대_10_매출_건수"", ""연령대_20_매출_건수"", ""연령대_30_매출_건수"", ""연령대_40_매출_건수"", ""연령대_50_매출_건수"", ""연령대_60_이상_매출_건수""]",
sales,2022,seoul_estimated_sales_2022.zip,서울시_상권분석서비스(추정매출-상권)_2022년.csv,cp949,",",55,938fb2aeb7fdec56c969156aea41afa3207e609183f94619100b2e3d7a349ffc,"[""기준_년분기_코드"", ""상권_구분_코드"", ""상권_구분_코드_명"", ""상권_코드"", ""상권_코드_명"", ""서비스_업종_코드"", ""서비스_업종_코드_명"", ""당월_매출_금액"", ""당월_매출_건수"", ""주중_매출_금액"", ""주말_매출_금액"", ""월요일_매출_금액"", ""화요일_매출_금액"", ""수요일_매출_금액"", ""목요일_매출_금액"", ""금요일_매출_금액"", ""토요일_매출_금액"", ""일요일_매출_금액"", ""시간대_00~06_매출_금액"", ""시간대_06~11_매출_금액"", ""시간대_11~14_매출_금액"", ""시간대_14~17_매출_금액"", ""시간대_17~21_매출_금액"", ""시간대_21~24_매출_금액"", ""남성_매출_금액"", ""여성_매출_금액"", ""연령대_10_매출_금액"", ""연령대_20_매출_금액"", ""연령대_30_매출_금액"", ""연령대_40_매출_금액"", ""연령대_50_매출_금액"", ""연령대_60_이상_매출_금액"", ""주중_매출_건수"", ""주말_매출_건수"", ""월요일_매출_건수"", ""화요일_매출_건수"", ""수요일_매출_건수"", ""목요일_매출_건수"", ""금요일_매출_건수"", ""토요일_매출_건수"", ""일요일_매출_건수"", ""시간대_건수~06_매출_건수"", ""시간대_건수~11_매출_건수"", ""시간대_건수~14_매출_건수"", ""시간대_건수~17_매출_건수"", ""시간대_건수~21_매출_건수"", ""시간대_건수~24_매출_건수"", ""남성_매출_건수"", ""여성_매출_건수"", ""연령대_10_매출_건수"", ""연령대_20_매출_건수"", ""연령대_30_매출_건수"", ""연령대_40_매출_건수"", ""연령대_50_매출_건수"", ""연령대_60_이상_매출_건수""]",
sales,2023,seoul_estimated_sales_2023.zip,서울시_상권분석서비스(추정매출-상권)_2023년.csv,cp949,",",55,938fb2aeb7fdec56c969156aea41afa3207e609183f94619100b2e3d7a349ffc,"[""기준_년분기_코드"", ""상권_구분_코드"", ""상권_구분_코드_명"", ""상권_코드"", ""상권_코드_명"", ""서비스_업종_코드"", ""서비스_업종_코드_명"", ""당월_매출_금액"", ""당월_매출_건수"", ""주중_매출_금액"", ""주말_매출_금액"", ""월요일_매출_금액"", ""화요일_매출_금액"", ""수요일_매출_금액"", ""목요일_매출_금액"", ""금요일_매출_금액"", ""토요일_매출_금액"", ""일요일_매출_금액"", ""시간대_00~06_매출_금액"", ""시간대_06~11_매출_금액"", ""시간대_11~14_매출_금액"", ""시간대_14~17_매출_금액"", ""시간대_17~21_매출_금액"", ""시간대_21~24_매출_금액"", ""남성_매출_금액"", ""여성_매출_금액"", ""연령대_10_매출_금액"", ""연령대_20_매출_금액"", ""연령대_30_매출_금액"", ""연령대_40_매출_금액"", ""연령대_50_매출_금액"", ""연령대_60_이상_매출_금액"", ""주중_매출_건수"", ""주말_매출_건수"", ""월요일_매출_건수"", ""화요일_매출_건수"", ""수요일_매출_건수"", ""목요일_매출_건수"", ""금요일_매출_건수"", ""토요일_매출_건수"", ""일요일_매출_건수"", ""시간대_건수~06_매출_건수"", ""시간대_건수~11_매출_건수"", ""시간대_건수~14_매출_건수"", ""시간대_건수~17_매출_건수"", ""시간대_건수~21_매출_건수"", ""시간대_건수~24_매출_건수"", ""남성_매출_건수"", ""여성_매출_건수"", ""연령대_10_매출_건수"", ""연령대_20_매출_건수"", ""연령대_30_매출_건수"", ""연령대_40_매출_건수"", ""연령대_50_매출_건수"", ""연령대_60_이상_매출_건수""]",
sales,2024,seoul_estimated_sales_2024.zip,서울시 상권분석서비스(추정매출-상권)_2024년.csv,cp949,",",55,938fb2aeb7fdec56c969156aea41afa3207e609183f94619100b2e3d7a349ffc,"[""기준_년분기_코드"", ""상권_구분_코드"", ""상권_구분_코드_명"", ""상권_코드"", ""상권_코드_명"", ""서비스_업종_코드"", ""서비스_업종_코드_명"", ""당월_매출_금액"", ""당월_매출_건수"", ""주중_매출_금액"", ""주말_매출_금액"", ""월요일_매출_금액"", ""화요일_매출_금액"", ""수요일_매출_금액"", ""목요일_매출_금액"", ""금요일_매출_금액"", ""토요일_매출_금액"", ""일요일_매출_금액"", ""시간대_00~06_매출_금액"", ""시간대_06~11_매출_금액"", ""시간대_11~14_매출_금액"", ""시간대_14~17_매출_금액"", ""시간대_17~21_매출_금액"", ""시간대_21~24_매출_금액"", ""남성_매출_금액"", ""여성_매출_금액"", ""연령대_10_매출_금액"", ""연령대_20_매출_금액"", ""연령대_30_매출_금액"", ""연령대_40_매출_금액"", ""연령대_50_매출_금액"", ""연령대_60_이상_매출_금액"", ""주중_매출_건수"", ""주말_매출_건수"", ""월요일_매출_건수"", ""화요일_매출_건수"", ""수요일_매출_건수"", ""목요일_매출_건수"", ""금요일_매출_건수"", ""토요일_매출_건수"", ""일요일_매출_건수"", ""시간대_건수~06_매출_건수"", ""시간대_건수~11_매출_건수"", ""시간대_건수~14_매출_건수"", ""시간대_건수~17_매출_건수"", ""시간대_건수~21_매출_건수"", ""시간대_건수~24_매출_건수"", ""남성_매출_건수"", ""여성_매출_건수"", ""연령대_10_매출_건수"", ""연령대_20_매출_건수"", ""연령대_30_매출_건수"", ""연령대_40_매출_건수"", ""연령대_50_매출_건수"", ""연령대_60_이상_매출_건수""]",
sales,2025,seoul_estimated_sales_2025.zip,서울시 상권분석서비스(추정매출-상권)_2025년.csv,cp949,",",55,938fb2aeb7fdec56c969156aea41afa3207e609183f94619100b2e3d7a349ffc,"[""기준_년분기_코드"", ""상권_구분_코드"", ""상권_구분_코드_명"", ""상권_코드"", ""상권_코드_명"", ""서비스_업종_코드"", ""서비스_업종_코드_명"", ""당월_매출_금액"", ""당월_매출_건수"", ""주중_매출_금액"", ""주말_매출_금액"", ""월요일_매출_금액"", ""화요일_매출_금액"", ""수요일_매출_금액"", ""목요일_매출_금액"", ""금요일_매출_금액"", ""토요일_매출_금액"", ""일요일_매출_금액"", ""시간대_00~06_매출_금액"", ""시간대_06~11_매출_금액"", ""시간대_11~14_매출_금액"", ""시간대_14~17_매출_금액"", ""시간대_17~21_매출_금액"", ""시간대_21~24_매출_금액"", ""남성_매출_금액"", ""여성_매출_금액"", ""연령대_10_매출_금액"", ""연령대_20_매출_금액"", ""연령대_30_매출_금액"", ""연령대_40_매출_금액"", ""연령대_50_매출_금액"", ""연령대_60_이상_매출_금액"", ""주중_매출_건수"", ""주말_매출_건수"", ""월요일_매출_건수"", ""화요일_매출_건수"", ""수요일_매출_건수"", ""목요일_매출_건수"", ""금요일_매출_건수"", ""토요일_매출_건수"", ""일요일_매출_건수"", ""시간대_건수~06_매출_건수"", ""시간대_건수~11_매출_건수"", ""시간대_건수~14_매출_건수"", ""시간대_건수~17_매출_건수"", ""시간대_건수~21_매출_건수"", ""시간대_건수~24_매출_건수"", ""남성_매출_건수"", ""여성_매출_건수"", ""연령대_10_매출_건수"", ""연령대_20_매출_건수"", ""연령대_30_매출_건수"", ""연령대_40_매출_건수"", ""연령대_50_매출_건수"", ""연령대_60_이상_매출_건수""]",
stores,2021,seoul_stores_2021.zip,서울시_상권분석서비스(점포-상권)_2021년.csv,cp949,",",14,045426c56c04194eee13b718017113cf19186f7b6c9d03171147b62e45032c1c,"[""기준_년분기_코드"", ""상권_구분_코드"", ""상권_구분_코드_명"", ""상권_코드"", ""상권_코드_명"", ""서비스_업종_코드"", ""서비스_업종_코드_명"", ""점포_수"", ""유사_업종_점포_수"", ""개업_율"", ""개업_점포_수"", ""폐업_률"", ""폐업_점포_수"", ""프랜차이즈_점포_수""]",
stores,2022,seoul_stores_2022.zip,서울시_상권분석서비스(점포-상권)_2022년.csv,cp949,",",14,045426c56c04194eee13b718017113cf19186f7b6c9d03171147b62e45032c1c,"[""기준_년분기_코드"", ""상권_구분_코드"", ""상권_구분_코드_명"", ""상권_코드"", ""상권_코드_명"", ""서비스_업종_코드"", ""서비스_업종_코드_명"", ""점포_수"", ""유사_업종_점포_수"", ""개업_율"", ""개업_점포_수"", ""폐업_률"", ""폐업_점포_수"", ""프랜차이즈_점포_수""]",
stores,2023,seoul_stores_2023.zip,서울시_상권분석서비스(점포-상권)_2023년.csv,cp949,",",14,045426c56c04194eee13b718017113cf19186f7b6c9d03171147b62e45032c1c,"[""기준_년분기_코드"", ""상권_구분_코드"", ""상권_구분_코드_명"", ""상권_코드"", ""상권_코드_명"", ""서비스_업종_코드"", ""서비스_업종_코드_명"", ""점포_수"", ""유사_업종_점포_수"", ""개업_율"", ""개업_점포_수"", ""폐업_률"", ""폐업_점포_수"", ""프랜차이즈_점포_수""]",
stores,2024,seoul_stores_2024.zip,서울시 상권분석서비스(점포-상권)_2024년.csv,cp949,",",14,045426c56c04194eee13b718017113cf19186f7b6c9d03171147b62e45032c1c,"[""기준_년분기_코드"", ""상권_구분_코드"", ""상권_구분_코드_명"", ""상권_코드"", ""상권_코드_명"", ""서비스_업종_코드"", ""서비스_업종_코드_명"", ""점포_수"", ""유사_업종_점포_수"", ""개업_율"", ""개업_점포_수"", ""폐업_률"", ""폐업_점포_수"", ""프랜차이즈_점포_수""]",
stores,2025,seoul_stores_2025.zip,서울시 상권분석서비스(점포-상권)_2025년.csv,cp949,",",14,ec79b223b778610bf55db46971f76a4fb5f4369a5f4f4e7ec3fdd10fa20bd2b3,"[""stdr_yyqu_cd"", ""trdar_se_cd"", ""trdar_se_cd_nm"", ""trdar_cd"", ""trdar_cd_nm"", ""svc_induty_cd"", ""svc_induty_cd_nm"", ""stor_co"", ""similr_induty_stor_co"", ""opbiz_rt"", ""opbiz_stor_co"", ""clsbiz_rt"", ""clsbiz_stor_co"", ""frc_stor_co""]",
